2026-09-24T13:19:26Z INFO Logging to /tmp/logs/update_2026-09-24T13-19-26Z.log.
2026-09-24T13:19:26Z INFO Update valid-nwb-file-to-cophenetic-index (base directory /tmp).
2026-09-24T13:19:26Z INFO Processing 500 items (53984 already recorded).
2026-09-24T13:20:37Z INFO [46/500] 1084e7d9-bcbc-4ddc-83ad-eb099445d35a: cophenetic index 1087; 1.1 s; peak memory 114 MiB.
2026-09-24T13:20:38Z INFO [47/500] 10857552-d43f-4cf9-b16d-90fa1c9d29e7: cophenetic index 624; 0.6 s; peak memory 114 MiB.
2026-09-24T13:20:38Z INFO [48/500] 10862265-2744-4737-917e-9e5473010913: cophenetic index 23510; 0.7 s; peak memory 114 MiB.
2026-09-24T13:20:39Z INFO [49/500] 108634f6-53c8-46a0-940b-87a7c37c4c0b: cophenetic index 3004; 0.8 s; peak memory 114 MiB.
2026-09-24T13:20:40Z INFO [50/500] 10863cb1-d616-41ba-a14c-ba7a9e803973: cophenetic index 624; 0.6 s; peak memory 114 MiB.
2026-09-24T13:20:40Z INFO [50/500] 10863cb1-d616-41ba-a14c-ba7a9e803973: checkpointed 54029 records.
2026-09-24T13:20:40Z INFO [51/500] 1086b1ec-5d0c-4c74-806c-bfbf2d982328: cophenetic index 3004; 0.7 s; peak memory 114 MiB.
2026-09-24T13:20:46Z INFO [52/500] 1087ac09-3f72-4ac4-bd18-43fedf92ed85: cophenetic index 180236; 5.1 s; peak memory 114 MiB.
2026-09-24T13:20:46Z INFO [53/500] 1087b643-fd7a-4624-b503-6b98696d554c: cophenetic index 2625; 0.8 s; peak memory 114 MiB.
2026-09-24T13:20:48Z INFO [54/500] 1087f44e-c903-4ad0-9dfd-d8b7f6fb9102: cophenetic index 99120; 1.4 s; peak memory 114 MiB.
2026-09-24T13:20:49Z INFO [55/500] 10887294-08c8-4c45-8af2-e6746f88898a: cophenetic index 3004; 0.8 s; peak memory 114 MiB.
2026-09-24T13:20:49Z INFO [56/500] 10891924-62f7-4699-911e-93b624110ef9: cophenetic index 624; 0.6 s; peak memory 114 MiB.
2026-09-24T13:20:50Z INFO [57/500] 10894618-9a39-4020-be06-5b738be2d570: cophenetic index 2496; 0.9 s; peak memory 114 MiB.
2026-09-24T13:20:51Z INFO [58/500] 108975d8-941f-40e3-a62d-6bccf4efd67a: cophenetic index 2625; 1.1 s; peak memory 114 MiB.
2026-09-24T13:20:52Z INFO [59/500] 108a1ed6-999a-491f-a08a-5935eecd376f: cophenetic index 605; 0.6 s; peak memory 114 MiB.
2026-09-24T13:20:52Z INFO [60/500] 108a6bb9-f8b4-4541-b25f-3f4bc74c8f3f: cophenetic index 649; 0.6 s; peak memory 114 MiB.
2026-09-24T13:20:53Z INFO [61/500] 108c2bb1-bd5e-44dc-9a53-7300b7893d44: cophenetic index 1380; 1.0 s; peak memory 114 MiB.
2026-09-24T13:20:57Z INFO [62/500] 108e7fc9-3f8b-498c-937e-f8052af01e56: cophenetic index 9298; 3.6 s; peak memory 114 MiB.
2026-09-24T13:20:58Z INFO [63/500] 108ec01d-89dd-4c24-a2a7-1ec6f839c855: cophenetic index 646; 0.6 s; peak memory 114 MiB.
2026-09-24T13:20:58Z INFO [64/500] 108fb671-1286-4735-a69d-e603e5e5b52e: cophenetic index 4662; 0.7 s; peak memory 114 MiB.
2026-09-24T13:20:59Z INFO [65/500] 108fe7e4-9bac-453c-8f5a-58495d3042d8: cophenetic index 624; 0.6 s; peak memory 114 MiB.
2026-09-24T13:21:00Z INFO [66/500] 109145ef-715a-44a2-a1dd-6002331615bb: cophenetic index 1087; 0.8 s; peak memory 114 MiB.
2026-09-24T13:21:00Z INFO [67/500] 109155b8-c518-4634-b7e9-9aa2d24af367: cophenetic index 624; 0.7 s; peak memory 114 MiB.
2026-09-24T13:21:01Z INFO [68/500] 10915ab6-c512-44b0-8c06-11becc4a19bf: cophenetic index 624; 0.6 s; peak memory 114 MiB.
2026-09-24T13:21:06Z INFO [69/500] 10918efe-342a-4f58-a9cc-d5a0f2e32617: cophenetic index 520159; 5.0 s; peak memory 114 MiB.
2026-09-24T13:21:07Z INFO [70/500] 10920998-3854-4d9f-b19b-6986c03ea424: cophenetic index 624; 0.6 s; peak memory 114 MiB.
2026-09-24T13:21:07Z INFO [71/500] 10922858-7654-4a3c-83fd-80aa20a604a6: cophenetic index 624; 0.6 s; peak memory 114 MiB.
2026-09-24T13:21:11Z INFO [72/500] 10925d72-d70a-4ce3-8343-d921df09be71: cophenetic index 87573; 3.8 s; peak memory 114 MiB.
2026-09-24T13:21:11Z INFO [73/500] 1093c8a4-f697-4d97-9aaf-2ff14a9375a8: cophenetic index 490; 0.4 s; peak memory 114 MiB.
2026-09-24T13:21:12Z INFO [74/500] 10949770-010b-4e86-9c76-f278503ca379: cophenetic index 624; 0.7 s; peak memory 114 MiB.
2026-09-24T13:21:13Z INFO [75/500] 1094f4c9-327d-40e9-8515-007a2ce30117: cophenetic index 1949; 1.1 s; peak memory 114 MiB.
