2026-09-23T13:24:58Z INFO Logging to /tmp/logs/update_2026-09-23T13-24-58Z.log.
2026-09-23T13:24:58Z INFO Update valid-nwb-file-to-cophenetic-index (base directory /tmp).
2026-09-23T13:24:58Z INFO Processing 500 items (52992 already recorded).
2026-09-23T13:24:59Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-23T13:27:12Z INFO [94/500] 0e98e04c-fa15-4e1d-bd20-8e8db86ab3a5: cophenetic index 624; 0.5 s; peak memory 171 MiB.
2026-09-23T13:27:13Z INFO [95/500] 0e993381-3e17-464b-99be-e7bfbd4d5dd7: cophenetic index 2625; 1.0 s; peak memory 171 MiB.
2026-09-23T13:27:14Z INFO [96/500] 0e9a52f6-deed-44b5-85e8-b7a515fa0cb5: cophenetic index 33962; 1.1 s; peak memory 171 MiB.
2026-09-23T13:27:15Z INFO [97/500] 0e9aea50-bc4b-45ed-976b-2193b688e76a: cophenetic index 3004; 0.7 s; peak memory 171 MiB.
2026-09-23T13:27:16Z INFO [98/500] 0e9b7e34-890b-4ba1-8f68-7b9423fa0233: cophenetic index 3045; 1.0 s; peak memory 171 MiB.
2026-09-23T13:27:16Z INFO [99/500] 0e9c1cb2-f374-43c2-8135-5bddd3b203f5: cophenetic index 490; 0.5 s; peak memory 171 MiB.
2026-09-23T13:27:18Z INFO [100/500] 0e9cb77f-8139-4cad-9e51-4c41271e3390: cophenetic index 2069; 1.6 s; peak memory 171 MiB.
2026-09-23T13:27:18Z INFO [100/500] 0e9cb77f-8139-4cad-9e51-4c41271e3390: checkpointed 53089 records.
2026-09-23T13:27:18Z INFO [101/500] 0e9d5761-e90e-462c-8f9a-6595b7ca2292: cophenetic index 624; 0.5 s; peak memory 171 MiB.
2026-09-23T13:27:19Z INFO [102/500] 0e9d8576-95e6-4949-b7e5-9955a1e2463f: cophenetic index 2625; 0.7 s; peak memory 171 MiB.
2026-09-23T13:27:20Z INFO [103/500] 0e9e26b7-1d51-41a9-9713-cf4aa69374c8: cophenetic index 2923; 0.5 s; peak memory 171 MiB.
2026-09-23T13:27:20Z INFO [104/500] 0e9ed953-6035-4b83-b0aa-2a5ed61a9518: cophenetic index 624; 0.5 s; peak memory 171 MiB.
2026-09-23T13:27:21Z INFO [105/500] 0e9f50ae-fcc5-4e18-9e6f-48cb85011f7c: cophenetic index 1739; 0.7 s; peak memory 171 MiB.
2026-09-23T13:27:21Z INFO [106/500] 0e9f6b89-90b0-4d61-bd56-548fc7b7f664: cophenetic index 2625; 0.6 s; peak memory 171 MiB.
2026-09-23T13:27:23Z INFO [107/500] 0ea08a29-8860-423b-b58c-33980607850c: cophenetic index 2682; 1.2 s; peak memory 171 MiB.
2026-09-23T13:27:24Z INFO [108/500] 0ea3ce61-685a-4708-ae88-ee34ea8a489c: cophenetic index 99114; 1.1 s; peak memory 171 MiB.
