2026-09-19T12:19:56Z INFO Logging to /tmp/logs/update_2026-09-19T12-19-56Z.log.
2026-09-19T12:19:56Z INFO Update valid-nwb-file-to-cophenetic-index (base directory /tmp).
2026-09-19T12:19:56Z INFO Processing 500 items (49007 already recorded).
2026-09-19T12:19:58Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-19T12:23:15Z INFO [87/500] 06492739-d971-48d7-a928-bb514297b654: cophenetic index 1766738; 9.7 s; peak memory 115 MiB.
2026-09-19T12:23:17Z INFO [88/500] 064958e4-3118-40fe-b883-4687b2025dbc: cophenetic index 33998; 2.1 s; peak memory 115 MiB.
2026-09-19T12:23:19Z INFO [89/500] 06499c2f-bc79-4aff-b925-d4161f90e396: cophenetic index 1130; 1.6 s; peak memory 115 MiB.
2026-09-19T12:23:25Z INFO [90/500] 064b68fd-4161-4a1e-9b43-6623b3ed1fe7: cophenetic index 49720; 6.1 s; peak memory 115 MiB.
2026-09-19T12:23:35Z INFO [91/500] 064b93f8-7f9c-45e1-a314-636d43448b09: cophenetic index 216076; 10.0 s; peak memory 115 MiB.
2026-09-19T12:23:36Z INFO [92/500] 064bcd8d-ba08-4136-86c8-e3d2e489bb62: cophenetic index 624; 1.0 s; peak memory 115 MiB.
2026-09-19T12:23:37Z INFO [93/500] 064d012c-d950-478e-8f6f-95f65fe09ded: cophenetic index 560; 0.9 s; peak memory 115 MiB.
2026-09-19T12:23:41Z INFO [94/500] 064d5a9f-3b6b-4f84-8736-c99b7e9e32bb: cophenetic index 12244; 4.0 s; peak memory 115 MiB.
2026-09-19T12:23:42Z INFO [95/500] 064d871c-e5ba-415b-b0e6-2fccd4f32196: cophenetic index 3004; 1.4 s; peak memory 115 MiB.
2026-09-19T12:23:53Z INFO [96/500] 064d8e0b-280e-49b2-bfc9-ab14e6d837c4: cophenetic index 119991; 10.5 s; peak memory 115 MiB.
2026-09-19T12:23:53Z INFO [97/500] 064dbccc-cac7-4909-8c3f-2cc127d8fe60: cophenetic index 490; 0.8 s; peak memory 115 MiB.
2026-09-19T12:23:55Z INFO [98/500] 064dfd3f-a6d3-4494-9842-30eb6ac2d533: cophenetic index 3087; 1.5 s; peak memory 115 MiB.
2026-09-19T12:23:58Z INFO [99/500] 064e1660-1e68-4ade-a363-40abdc7ea611: cophenetic index 99810; 2.9 s; peak memory 115 MiB.
2026-09-19T12:23:59Z INFO [100/500] 064fefac-41fe-4311-968c-265ebcf46d87: cophenetic index 1436; 1.3 s; peak memory 115 MiB.
2026-09-19T12:23:59Z INFO [100/500] 064fefac-41fe-4311-968c-265ebcf46d87: checkpointed 49106 records.
2026-09-19T12:24:01Z INFO [101/500] 06508326-2418-47cd-b3fc-bea60f0c9e2e: cophenetic index 3004; 1.4 s; peak memory 115 MiB.
2026-09-19T12:24:02Z INFO [102/500] 0650837b-7e7f-4e5e-ae30-433afc75e218: cophenetic index 2625; 1.6 s; peak memory 115 MiB.
2026-09-19T12:24:03Z INFO [103/500] 06514b38-f075-4f13-971a-0c598258b934: cophenetic index 624; 1.1 s; peak memory 115 MiB.
2026-09-19T12:24:05Z INFO [104/500] 065286f4-88ef-48a8-b1f3-5b3c5af047c6: cophenetic index 2974; 1.4 s; peak memory 115 MiB.
2026-09-19T12:24:06Z INFO [105/500] 06543034-a261-498b-a0e8-f7b3d32f359c: cophenetic index 496; 1.0 s; peak memory 115 MiB.
2026-09-19T12:24:07Z INFO [106/500] 0654a4f0-5300-4cc4-9f27-b8350bd04a36: cophenetic index 431; 1.2 s; peak memory 115 MiB.
2026-09-19T12:24:08Z INFO [107/500] 0654bbd6-3706-4d30-b4e7-bcfee7f1c3db: cophenetic index 624; 1.1 s; peak memory 115 MiB.
2026-09-19T12:24:22Z INFO [108/500] 06553df4-22a5-4c1c-8c62-d688b40edf2b: cophenetic index 102163; 14.2 s; peak memory 115 MiB.
2026-09-19T12:24:33Z INFO [109/500] 0655595d-cce5-46c1-b57d-becc785c2660: cophenetic index 47127; 11.1 s; peak memory 115 MiB.
2026-09-19T12:24:34Z INFO [110/500] 0655fca6-a89b-4fb0-b001-af59d773e192: cophenetic index 624; 1.1 s; peak memory 115 MiB.
2026-09-19T12:24:36Z INFO [111/500] 06564355-37a9-4e4e-a408-044fbb58d2ae: cophenetic index 33998; 1.8 s; peak memory 115 MiB.
2026-09-19T12:24:37Z INFO [112/500] 06564d7c-eb5f-4c38-9839-0b683a842d88: cophenetic index 2625; 1.3 s; peak memory 115 MiB.
2026-09-19T12:24:39Z INFO [113/500] 06566cfe-5f8b-4b83-9075-59629872c4cf: cophenetic index 624; 1.1 s; peak memory 115 MiB.
2026-09-19T12:24:45Z INFO [114/500] 0656b2ab-b374-40e0-bc3f-e24b4e8a0a65: cophenetic index 12727; 6.8 s; peak memory 115 MiB.
2026-09-19T12:24:47Z INFO [115/500] 06572ae3-0f68-4e5b-9962-b62170a61fac: cophenetic index 624; 1.1 s; peak memory 115 MiB.
2026-09-19T12:24:47Z INFO [116/500] 06578be0-0314-4595-856e-067aba710103: cophenetic index 579; 0.9 s; peak memory 115 MiB.
2026-09-19T12:24:49Z INFO [117/500] 065875df-55d8-4785-abff-22e7c7d1e350: cophenetic index 2625; 1.7 s; peak memory 115 MiB.
2026-09-19T12:24:51Z INFO [118/500] 06588843-144a-4294-a801-ae910f9ff18e: cophenetic index 2625; 1.8 s; peak memory 115 MiB.
2026-09-19T12:24:52Z INFO [119/500] 065a21d1-8076-4e71-932d-1ba3fdf29136: cophenetic index 2625; 1.5 s; peak memory 115 MiB.
2026-09-19T12:24:54Z INFO [120/500] 065a6a76-e45f-48f6-961b-00948e12bf44: cophenetic index 3087; 1.4 s; peak memory 115 MiB.
2026-09-19T12:24:56Z INFO [121/500] 065b371e-770b-4113-b41b-27f8e204cc56: cophenetic index 2056; 2.2 s; peak memory 115 MiB.
2026-09-19T12:24:58Z INFO [122/500] 065c0e14-a6a5-4caa-a11c-b1f846f616d7: cophenetic index 940; 2.3 s; peak memory 115 MiB.
2026-09-19T12:25:00Z INFO [123/500] 065c1f7b-13f4-47b7-a2a2-4caa60060261: cophenetic index 3004; 1.4 s; peak memory 115 MiB.
2026-09-19T12:25:01Z INFO [124/500] 065ca47c-4b02-44ed-ba82-85561df18640: cophenetic index 33962; 1.7 s; peak memory 115 MiB.
2026-09-19T12:25:02Z INFO [125/500] 065cb80e-45b9-4bee-a5c8-4621b015ddee: cophenetic index 431; 1.0 s; peak memory 115 MiB.
2026-09-19T12:25:04Z INFO [126/500] 065cda57-cb0c-4677-9a45-60f20e9a23f3: cophenetic index 23960; 1.5 s; peak memory 115 MiB.
2026-09-19T12:25:05Z INFO [127/500] 065d10e1-f3b0-40f5-8f00-99f5477144d6: cophenetic index 2974; 1.2 s; peak memory 115 MiB.
2026-09-19T12:25:06Z INFO [128/500] 065d4249-52e8-41d2-87ec-80e14b0ade0a: cophenetic index 624; 1.1 s; peak memory 115 MiB.
2026-09-19T12:25:08Z INFO [129/500] 065dd638-b41b-4bc5-a0d2-c15664653d87: cophenetic index 33986; 1.4 s; peak memory 115 MiB.
2026-09-19T12:25:09Z INFO [130/500] 065e0c5d-baff-416f-9e97-f7a82f5e9d6c: cophenetic index 3087; 1.4 s; peak memory 115 MiB.
2026-09-19T12:25:10Z INFO [131/500] 065e4a6e-387e-4183-9724-9885445fa205: cophenetic index 2779; 1.2 s; peak memory 115 MiB.
2026-09-19T12:25:14Z INFO [132/500] 065eb967-79a0-4a95-b089-6f69fcdfb62d: cophenetic index 3004; 3.6 s; peak memory 115 MiB.
2026-09-19T12:25:15Z INFO [133/500] 065ecdf5-9f65-4033-a914-3c6a23c9ee0d: cophenetic index 624; 1.0 s; peak memory 115 MiB.
2026-09-19T12:25:16Z INFO [134/500] 065fb623-256e-4537-bbc2-5956e35e675e: cophenetic index 624; 1.1 s; peak memory 115 MiB.
2026-09-19T12:25:17Z INFO [135/500] 06603511-00ed-450a-aca2-a5f9372f1f05: cophenetic index 624; 1.1 s; peak memory 115 MiB.
2026-09-19T12:25:18Z INFO [136/500] 06604994-2a1d-432e-9838-eaee4cf8c95a: cophenetic index 490; 1.2 s; peak memory 115 MiB.
2026-09-19T12:25:20Z INFO [137/500] 066081a4-b69c-4808-8a43-f724d8633f14: cophenetic index 33986; 1.9 s; peak memory 115 MiB.
2026-09-19T12:25:22Z INFO [138/500] 0660ec7d-23c8-474c-b720-b5c0fc78d01b: cophenetic index 3004; 1.4 s; peak memory 115 MiB.
2026-09-19T12:25:28Z INFO [139/500] 06619f0a-40a6-401e-853f-7a31f3f096e8: cophenetic index 6715; 6.9 s; peak memory 115 MiB.
2026-09-19T12:25:30Z INFO [140/500] 0661b2f2-3fb4-437d-9e9b-66e727a0f45d: cophenetic index 624; 1.1 s; peak memory 115 MiB.
2026-09-19T12:25:33Z INFO [141/500] 0661c340-d589-40bb-ab5d-c225a5c504c3: cophenetic index 6118; 3.2 s; peak memory 115 MiB.
2026-09-19T12:25:35Z INFO [142/500] 0661f13e-7eff-4247-aa95-2eae7b0c3960: cophenetic index 33998; 2.2 s; peak memory 115 MiB.
2026-09-19T12:25:36Z INFO [143/500] 066263e7-9b25-402b-aa7d-f0458407b1f1: cophenetic index 690; 1.0 s; peak memory 115 MiB.
2026-09-19T12:25:37Z INFO [144/500] 0662a888-4665-4c5f-b2d8-838b3566f9ae: cophenetic index 649; 1.3 s; peak memory 115 MiB.
2026-09-19T12:25:39Z INFO [145/500] 066302da-48a8-4bb6-99ef-073175c3fbff: cophenetic index 649; 1.3 s; peak memory 115 MiB.
2026-09-19T12:25:39Z INFO [146/500] 066333ef-182a-43fa-81fb-88e3b616d707: cophenetic index 490; 0.8 s; peak memory 115 MiB.
2026-09-19T12:25:40Z INFO [147/500] 06639d76-dba2-41b8-960e-a7f021ec0264: cophenetic index 579; 0.8 s; peak memory 115 MiB.
2026-09-19T12:25:43Z INFO [148/500] 0664090e-391b-4336-8e54-6cd92ca0346c: cophenetic index 2682; 2.7 s; peak memory 115 MiB.
2026-09-19T12:25:44Z INFO [149/500] 0664def5-43fb-4126-81ef-eb5ac37952d4: cophenetic index 23272; 1.3 s; peak memory 115 MiB.
2026-09-19T12:25:46Z INFO [150/500] 0665065c-e427-442e-a315-42233a9d6984: cophenetic index 3087; 1.6 s; peak memory 115 MiB.
2026-09-19T12:25:46Z INFO [150/500] 0665065c-e427-442e-a315-42233a9d6984: checkpointed 49156 records.
2026-09-19T12:25:47Z INFO [151/500] 06651b7f-133b-43aa-b4ff-c8ccd271b49a: cophenetic index 33962; 1.7 s; peak memory 115 MiB.
2026-09-19T12:25:57Z INFO [152/500] 0665772e-6147-4057-85be-8caf934b2975: cophenetic index 140725; 9.8 s; peak memory 115 MiB.
2026-09-19T12:25:58Z INFO [153/500] 0666c67b-5338-44f1-a199-0f9fe1341f43: cophenetic index 490; 1.0 s; peak memory 115 MiB.
2026-09-19T12:25:59Z INFO [154/500] 0666f5c2-5991-4cf5-afca-cc7131fd81af: cophenetic index 490; 1.2 s; peak memory 115 MiB.
2026-09-19T12:26:01Z INFO [155/500] 0668b06a-e095-41aa-9a5d-634035f9be47: cophenetic index 3004; 1.6 s; peak memory 115 MiB.
2026-09-19T12:26:03Z INFO [156/500] 06696c11-d9c4-4b98-b994-1e0cc198140d: cophenetic index 2625; 2.0 s; peak memory 115 MiB.
2026-09-19T12:26:04Z INFO [157/500] 0669daa2-eefb-4ffc-9e52-37fea0a92681: cophenetic index 3087; 1.3 s; peak memory 115 MiB.
2026-09-19T12:26:07Z INFO [158/500] 066a734a-f816-4392-aedf-414b4cc0996f: cophenetic index 4301; 3.0 s; peak memory 115 MiB.
2026-09-19T12:26:09Z INFO [159/500] 066ae256-4ec2-4da4-a5f2-c8e106beadcd: cophenetic index 4586; 1.4 s; peak memory 115 MiB.
2026-09-19T12:26:10Z INFO [160/500] 066b83e3-abd2-4e8a-92d1-b8852b924095: cophenetic index 431; 1.0 s; peak memory 115 MiB.
2026-09-19T12:26:18Z INFO [161/500] 066b97ad-c2df-44a8-a5aa-97b88f3f4170: cophenetic index 80942; 8.0 s; peak memory 115 MiB.
