2026-09-21T23:03:12Z INFO Logging to /tmp/logs/update_2026-09-21T23-03-12Z.log.
2026-09-21T23:03:12Z INFO Update valid-nwb-file-to-cophenetic-index (base directory /tmp).
2026-09-21T23:03:12Z INFO Processing 500 items (51499 already recorded).
2026-09-21T23:03:13Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T23:03:13Z WARNING [1/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-21T23:03:14Z WARNING 09073220-fbea-45d2-9a39-2cc61fcdc2a1: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T23:03:14Z WARNING [2/500] 09073220-fbea-45d2-9a39-2cc61fcdc2a1: leaving unrecorded for a later run to retry.
2026-09-21T23:04:41Z INFO [61/500] 0b742ffd-9b52-4869-9ca3-9c7aed48b5bd: cophenetic index 624; 0.6 s; peak memory 109 MiB.
2026-09-21T23:04:46Z INFO [62/500] 0b743d42-89d1-4030-b9c7-efe487b4eba4: cophenetic index 33602; 5.1 s; peak memory 109 MiB.
2026-09-21T23:04:47Z INFO [63/500] 0b78033f-e5f5-42be-a299-70f31a836155: cophenetic index 2570; 0.6 s; peak memory 109 MiB.
2026-09-21T23:04:47Z INFO [64/500] 0b785289-bf44-4e7a-94ce-8d4840ab1fc5: cophenetic index 490; 0.3 s; peak memory 109 MiB.
2026-09-21T23:04:50Z INFO [65/500] 0b792779-58af-4eb3-b0f8-618084df71ce: cophenetic index 63589; 3.0 s; peak memory 109 MiB.
2026-09-21T23:04:51Z INFO [66/500] 0b79434c-b4a9-482f-a19e-41e630a895c4: cophenetic index 3004; 0.6 s; peak memory 109 MiB.
2026-09-21T23:04:51Z INFO [67/500] 0b7a8868-108c-4b8b-a67d-28108c81cc4e: cophenetic index 490; 0.3 s; peak memory 109 MiB.
2026-09-21T23:04:51Z INFO [68/500] 0b7a8aa3-d8cf-4329-b190-297c3c5b1046: cophenetic index 2974; 0.5 s; peak memory 109 MiB.
2026-09-21T23:04:52Z INFO [69/500] 0b7b0560-61c1-4b64-8caf-907d1bfbd09d: cophenetic index 2974; 0.5 s; peak memory 109 MiB.
2026-09-21T23:04:53Z INFO [70/500] 0b7c36e8-c6b4-46dd-90bc-663d5ab167b3: cophenetic index 99150; 0.8 s; peak memory 109 MiB.
2026-09-21T23:04:53Z INFO [71/500] 0b7c9bcb-8d9f-41fe-85e3-b02f262fb1fd: cophenetic index 624; 0.5 s; peak memory 109 MiB.
2026-09-21T23:04:53Z INFO [72/500] 0b7d7fd2-e57b-4b68-a52f-8a2e3ef61fa3: cophenetic index 651; 0.3 s; peak memory 109 MiB.
2026-09-21T23:04:54Z INFO [73/500] 0b7d90ed-39c1-4db2-83f5-23307077d420: cophenetic index 3087; 0.6 s; peak memory 109 MiB.
2026-09-21T23:04:54Z INFO [74/500] 0b7df8df-d9fe-4dc4-addf-c4f850c700d6: cophenetic index 739; 0.3 s; peak memory 109 MiB.
2026-09-21T23:04:55Z INFO [75/500] 0b7e078a-daea-42fc-842e-87cdbff06dc4: cophenetic index 3004; 0.6 s; peak memory 109 MiB.
2026-09-21T23:04:55Z INFO [76/500] 0b7e1394-028a-4847-871e-6a42b7ae317d: cophenetic index 624; 0.4 s; peak memory 109 MiB.
2026-09-21T23:04:57Z INFO [77/500] 0b7ebed6-64cf-4977-b03b-ed45367e0100: cophenetic index 2241; 1.3 s; peak memory 109 MiB.
2026-09-21T23:04:57Z INFO [78/500] 0b7efbf7-1983-4951-bf7d-f91ce756ee9c: cophenetic index 33968; 0.8 s; peak memory 109 MiB.
2026-09-21T23:04:58Z INFO [79/500] 0b7f03a2-3f36-4a4f-80de-652124a3249e: cophenetic index 2570; 0.7 s; peak memory 109 MiB.
2026-09-21T23:04:59Z INFO [80/500] 0b7f2a5c-363f-4ec0-8d4a-09589b51b9b7: cophenetic index 33968; 1.0 s; peak memory 109 MiB.
2026-09-21T23:05:00Z INFO [81/500] 0b7f6f7b-c08a-4aef-92eb-1329d8b82cfd: cophenetic index 490; 0.3 s; peak memory 109 MiB.
2026-09-21T23:05:02Z INFO [82/500] 0b7fc2b5-4b1e-487f-a11a-872f2d39f4bb: cophenetic index 47027; 2.4 s; peak memory 109 MiB.
2026-09-21T23:05:03Z INFO [83/500] 0b8001ec-83dc-45ea-9fd4-7ef9448c0033: cophenetic index 33962; 0.9 s; peak memory 109 MiB.
2026-09-21T23:05:09Z INFO [84/500] 0b804af3-2ef9-4045-9ff3-309844490c4c: cophenetic index 656873; 6.5 s; peak memory 117 MiB.
2026-09-21T23:05:15Z INFO [85/500] 0b808108-c583-41fc-a536-7fc6eee5cb43: cophenetic index 37234901; 5.2 s; peak memory 180 MiB.
2026-09-21T23:05:15Z INFO [86/500] 0b8142f3-3e97-4e03-81d9-4dc1a485d9a9: cophenetic index 494; 0.4 s; peak memory 180 MiB.
2026-09-21T23:05:16Z INFO [87/500] 0b81a9fb-4f09-4b7c-94f9-fc1b87cca9a2: cophenetic index 33998; 0.9 s; peak memory 180 MiB.
2026-09-21T23:05:16Z INFO [88/500] 0b829f6e-7172-4536-b106-23cddd9d3847: cophenetic index 3087; 0.5 s; peak memory 180 MiB.
2026-09-21T23:05:17Z INFO [89/500] 0b83e688-6016-47f2-8189-f32e8fd2feca: cophenetic index 2625; 0.9 s; peak memory 180 MiB.
2026-09-21T23:05:18Z INFO [90/500] 0b83ff71-5f75-455b-8724-a4880ffe4858: cophenetic index 33986; 0.7 s; peak memory 180 MiB.
2026-09-21T23:05:20Z INFO [91/500] 0b849e94-e4fd-4c11-a3b5-956d2028b3dc: cophenetic index 5473; 1.6 s; peak memory 180 MiB.
2026-09-21T23:05:20Z INFO [92/500] 0b84aa0b-216d-4b46-8e05-02e563038782: cophenetic index 2974; 0.7 s; peak memory 180 MiB.
2026-09-21T23:05:21Z INFO [93/500] 0b84dd45-d75c-4edd-86d5-8521479ff72f: cophenetic index 2974; 0.5 s; peak memory 180 MiB.
2026-09-21T23:05:21Z INFO [94/500] 0b855181-cab4-4e81-bd48-e8cfa4c93616: cophenetic index 1006; 0.5 s; peak memory 180 MiB.
2026-09-21T23:05:22Z INFO [95/500] 0b857fae-5fef-4ddf-8726-e4f85d1a1e97: cophenetic index 466; 0.7 s; peak memory 180 MiB.
2026-09-21T23:05:23Z INFO [96/500] 0b8620ae-47a5-4966-92de-80b15f750f26: cophenetic index 33998; 1.0 s; peak memory 180 MiB.
2026-09-21T23:05:24Z INFO [97/500] 0b866595-76c7-4940-b336-7cdf760e4b40: cophenetic index 33986; 0.9 s; peak memory 180 MiB.
2026-09-21T23:05:24Z INFO [98/500] 0b8665e2-5e17-4135-9a88-b7440814dfaa: cophenetic index 447; 0.5 s; peak memory 180 MiB.
2026-09-21T23:05:25Z INFO [99/500] 0b86cca3-f54d-4a62-926c-3819822e7043: cophenetic index 2625; 0.6 s; peak memory 180 MiB.
2026-09-21T23:05:25Z INFO [100/500] 0b86d09c-cc9f-4de4-9ae4-56ca0875a3ba: cophenetic index 490; 0.4 s; peak memory 180 MiB.
2026-09-21T23:05:25Z INFO [100/500] 0b86d09c-cc9f-4de4-9ae4-56ca0875a3ba: checkpointed 51597 records.
2026-09-21T23:05:26Z INFO [101/500] 0b875c0e-f757-4edd-8a73-ee590caae411: cophenetic index 2625; 0.6 s; peak memory 180 MiB.
2026-09-21T23:05:26Z INFO [102/500] 0b87d7ea-3784-4bfd-be44-018ed6ae6abf: cophenetic index 624; 0.5 s; peak memory 180 MiB.
2026-09-21T23:05:28Z INFO [103/500] 0b88dc4a-a190-49ec-bdfc-d3db764e091c: cophenetic index 6490; 1.2 s; peak memory 180 MiB.
2026-09-21T23:05:31Z INFO [104/500] 0b89257d-d804-4b41-85fd-77eb4efe20bd: cophenetic index 5466; 2.9 s; peak memory 180 MiB.
2026-09-21T23:05:31Z INFO [105/500] 0b89ccc5-cff2-4eda-b1dd-7d80d0ec60ec: cophenetic index 3004; 0.5 s; peak memory 180 MiB.
2026-09-21T23:05:32Z INFO [106/500] 0b8a47e7-e67c-46d7-b5b5-c3410fa611dd: cophenetic index 624; 0.5 s; peak memory 180 MiB.
2026-09-21T23:05:32Z INFO [107/500] 0b8bcc97-1661-494f-82d5-e9ef1223ed3b: cophenetic index 1087; 0.6 s; peak memory 180 MiB.
2026-09-21T23:05:33Z INFO [108/500] 0b8beb50-3715-46ef-8998-13646ecc0a35: cophenetic index 624; 0.5 s; peak memory 180 MiB.
2026-09-21T23:05:33Z INFO [109/500] 0b8c0c9a-ae38-442e-8142-089459f65222: cophenetic index 624; 0.5 s; peak memory 180 MiB.
2026-09-21T23:05:34Z INFO [110/500] 0b8c2e90-08bd-4e9e-980c-773f892ff297: cophenetic index 2570; 0.6 s; peak memory 180 MiB.
2026-09-21T23:05:34Z INFO [111/500] 0b8cc4d9-5a24-463e-a08b-abbb78e308b7: cophenetic index 624; 0.4 s; peak memory 180 MiB.
2026-09-21T23:05:35Z INFO [112/500] 0b8dece2-3d23-406a-868c-0fb98753f828: cophenetic index 2862; 0.7 s; peak memory 180 MiB.
2026-09-21T23:05:36Z INFO [113/500] 0b8ebe40-f21b-4ff7-941e-7b36fef46943: cophenetic index 23393; 0.6 s; peak memory 180 MiB.
2026-09-21T23:05:36Z INFO [114/500] 0b8f8155-cb7e-4eba-b8ab-83987dc068c0: cophenetic index 99120; 0.9 s; peak memory 180 MiB.
2026-09-21T23:05:37Z INFO [115/500] 0b8fbbe9-76e0-45a6-a47c-375e3c5fb1c8: cophenetic index 2625; 0.7 s; peak memory 180 MiB.
2026-09-21T23:05:37Z INFO [116/500] 0b8ffc33-db90-401a-ad8f-e99d68157ffc: cophenetic index 579; 0.3 s; peak memory 180 MiB.
2026-09-21T23:05:38Z INFO [117/500] 0b90a54a-20cf-4413-b1a6-7b262e7af07b: cophenetic index 33986; 0.8 s; peak memory 180 MiB.
2026-09-21T23:05:39Z INFO [118/500] 0b911112-0e92-4404-b66c-3137c3637fd8: cophenetic index 560; 0.4 s; peak memory 180 MiB.
2026-09-21T23:05:39Z INFO [119/500] 0b919100-c0a7-453c-a1b9-7517df9e6e6a: cophenetic index 1346; 0.8 s; peak memory 180 MiB.
2026-09-21T23:05:40Z INFO [120/500] 0b931f68-643e-4188-9bf9-a448461439ee: cophenetic index 1739; 0.7 s; peak memory 180 MiB.
2026-09-21T23:05:42Z INFO [121/500] 0b94130e-234e-45c8-8a22-d3b66d8a94ae: cophenetic index 37165; 2.4 s; peak memory 180 MiB.
2026-09-21T23:05:43Z INFO [122/500] 0b952897-2fd4-4b59-bcc7-0f9d856509f7: cophenetic index 624; 0.6 s; peak memory 180 MiB.
2026-09-21T23:05:44Z INFO [123/500] 0b9574d6-9651-4514-9b38-51dc90b9618b: cophenetic index 624; 0.6 s; peak memory 180 MiB.
2026-09-21T23:05:47Z INFO [124/500] 0b95f825-360a-410d-a65c-f5537e332122: cophenetic index 66950; 3.2 s; peak memory 180 MiB.
